query,doc,rel
pulsar,174,
pulsar,907,
pulsar,3580,
pulsar,6008,
pulsar,2067,
pulsar,6132,
pulsar,1943,
pulsar,1964,
galaxy,4729,
galaxy,6688,
galaxy,6735,
galaxy,6736,
galaxy,5012,
galaxy,6193,
galaxy,3918,
galaxy,2676,
galaxy,5212,
galaxy,5339,
galaxy,2012,
galaxy,1133,
galaxy,6038,
galaxy,4518,
galaxy,4429,
galaxy,6289,
galaxy,6133,
galaxy,624,
galaxy,3352,
galaxy,5388,
galaxy,2534,
galaxy,2514,
galaxy,2524,
galaxy,2602,
galaxy,2535,
galaxy,2998,
galaxy,2449,
galaxy,2515,
galaxy,2604,
galaxy,2537,
galaxy,6824,
galaxy,2722,
galaxy,2337,
galaxy,2462,
galaxy,639,
galaxy,4500,
galaxy,105,
galaxy,2614,
galaxy,1985,
galaxy,845,
galaxy,2453,
galaxy,1209,
galaxy,2665,
galaxy,2982,
galaxy,2394,
galaxy,3350,
galaxy,2598,
galaxy,6378,
galaxy,3206,
galaxy,6835,
binary stars that are closest to the north star,3864,
binary stars that are closest to the north star,1943,
binary stars that are closest to the north star,5485,
binary stars that are closest to the north star,1950,
binary stars that are closest to the north star,3080,
binary stars that are closest to the north star,1964,
binary stars that are closest to the north star,6814,
binary stars that are closest to the north star,5845,
binary stars that are closest to the north star,1957,
binary stars that are closest to the north star,2038,
binary stars that are closest to the north star,5954,
binary stars that are closest to the north star,2677,
binary stars that are closest to the north star,6249,
binary stars that are closest to the north star,6573,
binary stars that are closest to the north star,2067,
binary stars that are closest to the north star,6519,
binary stars that are closest to the north star,3152,
binary stars that are closest to the north star,4065,
binary stars that are closest to the north star,249,
binary stars that are closest to the north star,1275,
binary stars that are closest to the north star,3089,
binary stars that are closest to the north star,3131,
binary stars that are closest to the north star,6818,
binary stars that are closest to the north star,2058,
binary stars that are closest to the north star,3021,
binary stars that are closest to the north star,1289,
binary stars that are closest to the north star,4425,
binary stars that are closest to the north star,1213,
binary stars that are closest to the north star,4078,
binary stars that are closest to the north star,4642,
binary stars that are closest to the north star,4874,
binary stars that are closest to the north star,6383,
binary stars that are closest to the north star,2012,
binary stars that are closest to the north star,1665,
binary stars that are closest to the north star,3699,
binary stars that are closest to the north star,3133,
binary stars that are closest to the north star,4744,
binary stars that are closest to the north star,6245,
binary stars that are closest to the north star,4041,
binary stars that are closest to the north star,305,
binary stars that are closest to the north star,3008,
binary stars that are closest to the north star,4388,
binary stars that are closest to the north star,256,
binary stars that are closest to the north star,6860,
binary stars that are closest to the north star,2166,
binary stars that are closest to the north star,6329,
binary stars that are closest to the north star,5497,
binary stars that are closest to the north star,526,
binary stars that are closest to the north star,5720,
binary stars that are closest to the north star,5350,
stars that look blue,5020,
stars that look blue,3714,
stars that look blue,2361,
stars that look blue,816,
stars that look blue,1470,
stars that look blue,522,
stars that look blue,620,
stars that look blue,619,
stars that look blue,521,
stars that look blue,627,
stars that look blue,631,
stars that look blue,623,
stars that look blue,5918,
stars that look blue,4314,
stars that look blue,812,
stars that look blue,366,
stars that look blue,6526,
stars that look blue,3171,
stars that look blue,4313,
stars that look blue,3477,
stars that look blue,5997,
stars that look blue,5593,
stars that look blue,1872,
stars that look blue,3677,
stars that look blue,883,
stars that look blue,5485,
stars that look blue,9,
stars that look blue,461,
stars that look blue,3478,
stars that look blue,1708,
stars that look blue,4974,
stars that look blue,687,
stars that look blue,1451,
stars that look blue,1768,
stars that look blue,233,
stars that look blue,684,
stars that look blue,176,
stars that look blue,738,
stars that look blue,974,
stars that look blue,5110,
stars that look blue,1940,
stars that look blue,5,
stars that look blue,1344,
stars that look blue,4809,
stars that look blue,1466,
stars that look blue,3269,
stars that look blue,173,
stars that look blue,893,
stars that look blue,2597,
stars that look blue,5553,
the andromeda galaxy,6193,
the andromeda galaxy,6213,
the andromeda galaxy,281,
the andromeda galaxy,4532,
the andromeda galaxy,512,
the andromeda galaxy,341,
the andromeda galaxy,515,
the andromeda galaxy,3357,
the andromeda galaxy,3663,
the andromeda galaxy,459,
the andromeda galaxy,460,
the andromeda galaxy,5327,
the andromeda galaxy,2177,
the andromeda galaxy,496,
the andromeda galaxy,229,
the andromeda galaxy,4729,
the andromeda galaxy,6688,
the andromeda galaxy,6735,
the andromeda galaxy,6736,
the andromeda galaxy,5012,
the andromeda galaxy,3918,
the andromeda galaxy,2676,
the andromeda galaxy,5339,
the andromeda galaxy,5212,
the andromeda galaxy,2012,
the andromeda galaxy,1133,
the andromeda galaxy,6038,
the andromeda galaxy,4518,
the andromeda galaxy,4429,
the andromeda galaxy,6289,
the andromeda galaxy,6133,
the andromeda galaxy,624,
the andromeda galaxy,3352,
the andromeda galaxy,5388,
the andromeda galaxy,2524,
the andromeda galaxy,2534,
the andromeda galaxy,2514,
the andromeda galaxy,2602,
the andromeda galaxy,2535,
the andromeda galaxy,2449,
the andromeda galaxy,2998,
the andromeda galaxy,2604,
the andromeda galaxy,2537,
the andromeda galaxy,2515,
the andromeda galaxy,2337,
the andromeda galaxy,2722,
the andromeda galaxy,2462,
the andromeda galaxy,639,
the andromeda galaxy,6824,
the andromeda galaxy,4500,
Sirius,530,
Sirius,5611,
Sirius,1893,
Sirius,1406,
Sirius,1937,
Sirius,1358,
Sirius,4642,
Sirius,6068,
Sirius,5266,
Sirius,4940,
Sirius,4945,
Sirius,4758,
Sirius,5154,
Sirius,323,
Sirius,6269,
Sirius,5129,
Sirius,174,
Sirius,1152,
Sirius,6814,
Sirius,4710,
Sirius,5654,
Sirius,2295,
Sirius,392,
Sirius,3113,
Sirius,5504,
Sirius,4065,
Sirius,2599,
Sirius,5419,
Sirius,2677,
Sirius,4592,
Sirius,5786,
Sirius,5680,
Sirius,852,
Sirius,2487,
Sirius,4145,
Sirius,1462,
Sirius,337,
Sirius,840,
Sirius,1337,
Sirius,842,
Sirius,3440,
Sirius,4969,
Sirius,1451,
Sirius,2908,
Sirius,4798,
Sirius,5083,
Sirius,2828,
Sirius,5084,
Sirius,4809,
Sirius,3497,
galaxies similar to the milky way,3918,
galaxies similar to the milky way,6193,
galaxies similar to the milky way,3118,
galaxies similar to the milky way,3352,
galaxies similar to the milky way,6548,
galaxies similar to the milky way,5339,
galaxies similar to the milky way,2508,
galaxies similar to the milky way,2808,
galaxies similar to the milky way,4337,
galaxies similar to the milky way,3620,
galaxies similar to the milky way,5848,
galaxies similar to the milky way,2776,
galaxies similar to the milky way,3955,
galaxies similar to the milky way,4758,
galaxies similar to the milky way,330,
galaxies similar to the milky way,3398,
galaxies similar to the milky way,2937,
galaxies similar to the milky way,302,
galaxies similar to the milky way,4221,
galaxies similar to the milky way,4288,
galaxies similar to the milky way,2729,
galaxies similar to the milky way,5201,
galaxies similar to the milky way,4115,
galaxies similar to the milky way,6225,
galaxies similar to the milky way,2880,
galaxies similar to the milky way,4860,
galaxies similar to the milky way,457,
galaxies similar to the milky way,6690,
galaxies similar to the milky way,2722,
galaxies similar to the milky way,4113,
galaxies similar to the milky way,704,
galaxies similar to the milky way,2752,
galaxies similar to the milky way,2665,
galaxies similar to the milky way,957,
galaxies similar to the milky way,517,
galaxies similar to the milky way,5225,
galaxies similar to the milky way,1361,
galaxies similar to the milky way,2998,
galaxies similar to the milky way,460,
galaxies similar to the milky way,368,
galaxies similar to the milky way,3950,
galaxies similar to the milky way,4211,
galaxies similar to the milky way,3714,
galaxies similar to the milky way,3350,
galaxies similar to the milky way,3481,
galaxies similar to the milky way,3555,
galaxies similar to the milky way,5355,
galaxies similar to the milky way,2380,
galaxies similar to the milky way,4242,
galaxies similar to the milky way,5231,
Stars as bright as Verga,4501,
Stars as bright as Verga,4001,
Stars as bright as Verga,2663,
Stars as bright as Verga,6457,
Stars as bright as Verga,897,
Stars as bright as Verga,4338,
Stars as bright as Verga,2539,
Stars as bright as Verga,402,
Stars as bright as Verga,4043,
Stars as bright as Verga,5333,
Stars as bright as Verga,1320,
Stars as bright as Verga,555,
Stars as bright as Verga,5231,
Stars as bright as Verga,6274,
Stars as bright as Verga,204,
Stars as bright as Verga,63,
Stars as bright as Verga,4042,
Stars as bright as Verga,6008,
Stars as bright as Verga,159,
Stars as bright as Verga,4776,
Stars as bright as Verga,1865,
Stars as bright as Verga,1984,
Stars as bright as Verga,2307,
Stars as bright as Verga,3572,
Stars as bright as Verga,6089,
Stars as bright as Verga,3041,
Stars as bright as Verga,3167,
Stars as bright as Verga,2825,
Stars as bright as Verga,6092,
Stars as bright as Verga,1207,
Stars as bright as Verga,703,
Stars as bright as Verga,1589,
Stars as bright as Verga,3304,
Stars as bright as Verga,445,
Stars as bright as Verga,3107,
Stars as bright as Verga,2534,
Stars as bright as Verga,5485,
Stars as bright as Verga,6375,
Stars as bright as Verga,6150,
Stars as bright as Verga,6257,
Stars as bright as Verga,4039,
Stars as bright as Verga,1318,
Stars as bright as Verga,2535,
Stars as bright as Verga,942,
Stars as bright as Verga,2524,
Stars as bright as Verga,657,
Stars as bright as Verga,1146,
Stars as bright as Verga,2716,
Stars as bright as Verga,1470,
Stars as bright as Verga,2816,
Messier Objects,6150,
Messier Objects,460,
Messier Objects,2589,
Messier Objects,2386,
Messier Objects,639,
Messier Objects,4224,
Messier Objects,535,
Messier Objects,4208,
Messier Objects,4212,
Messier Objects,2221,
Messier Objects,4214,
Messier Objects,417,
Messier Objects,529,
Messier Objects,644,
Messier Objects,3926,
Messier Objects,695,
Messier Objects,830,
Messier Objects,6804,
Messier Objects,2501,
Messier Objects,2330,
Messier Objects,2319,
Messier Objects,3281,
Messier Objects,2755,
Messier Objects,4561,
Messier Objects,4910,
Messier Objects,2320,
Messier Objects,5033,
Messier Objects,696,
Messier Objects,2321,
Messier Objects,2177,
Messier Objects,1949,
Messier Objects,3229,
Messier Objects,1324,
Messier Objects,4629,
Messier Objects,5677,
Messier Objects,5815,
Messier Objects,4638,
Messier Objects,6613,
Messier Objects,1275,
Messier Objects,4544,
Messier Objects,6862,
Messier Objects,58,
Messier Objects,4314,
Messier Objects,3009,
Messier Objects,6077,
Messier Objects,3989,
Messier Objects,862,
Messier Objects,6823,
Messier Objects,2214,
Messier Objects,17,
